id;gender;masterCategory;subCategory;articleType;baseColour;season;year;usage;productDisplayName;Price;description 
38402;Women;Accessories;Belts;Belts;Black;Summer;2012;Casual;Baggit Women Hood Dabang Black Belt;$85;This is a black leather belt with a sturdy metal buckle. Made from high-quality synthetic leather, it is not only durable but also has a sleek and modern texture. Suitable for various outfits, both formal and casual. The advantage of this belt is its simple yet stylish design and its durability, ensuring it can be used for a long period.
44984;Women;Accessories;Watches;Watches;White;Winter;2016;Casual;Maxima Women White Dial Watch;$65;This is a women's wristwatch in silver and black, featuring a stainless steel strap with black accents. It has an elegant look with a rectangular white dial and minimalist time markers, making it suitable for various occasions, both formal and casual. Its advantages include a modern design and water resistance up to 30 meters, making it a practical and durable choice
10268;Men;Footwear;Shoes;Formal Shoes;Black;Fall;2012;Formal;Clarks Men Hang Work Leather Black Formal Shoes;$55;This is a black leather loafer, made from high-quality leather for an elegant and professional look. Designed as a slip-on, it’s easy to wear and remove, making it a practical choice for both formal and casual occasions. With a comfortable and sturdy sole, this shoe offers all-day comfort and excellent durability.
45856;Women;Apparel;Topwear;Kurtas;Brown;Summer;2012;Ethnic;Vishudh Women Brown Kurta;$99;This is a women's tunic with a brown base color and attractive yellow geometric patterns. Made from lightweight and comfortable cotton, this tunic is suitable for daily wear as well as casual events. With a simple yet stylish design, it pairs well with various types of bottoms, offering both comfort and a fashionable look throughout the day.
43164;Men;Accessories;Watches;Watches;Black;Winter;2016;Casual;Fastrack Men Black Watch;$75;This watch is a men's analog watch featuring contrasting black and red colors, giving it a sporty and modern look. The strap is made of durable synthetic leather, providing both strength and comfort. With a long-lasting design and easy-to-read face, this watch is ideal for daily wear as well as outdoor activities. Its advantages lie in its casual yet stylish design, making it easy to pair with a variety of outfits.
59435;Men;Footwear;Shoes;Formal Shoes;Black;Summer;2012;Formal;Arrow Men Black Formal Shoes;$65;This is a pair of men's black formal shoes from the brand Arrow. Made from high-quality leather, these shoes provide an elegant and professional look, ideal for formal events or office wear. Featuring a classic design and comfortable sole, these shoes offer durability and all-day comfort. Their advantages lie in their luxurious appearance and ease of maintenance.
5891;Men;Apparel;Topwear;Tshirts;Black;Summer;2011;Casual;Puma Men's Stripe Polo Black T-shirt;$35;This is a men's black t-shirt with a simple and modern design. Made from high-quality cotton that is soft and comfortable to wear, this t-shirt is ideal for daily use or casual activities. With a neutral color that pairs easily, it offers a stylish look suitable for various styles. Its advantages include maximum comfort and easy maintenance.
38630;Women;Apparel;Topwear;Tshirts;Purple;Summer;2012;Casual;Nike Women Purple Polo T-shirt;$20;This is a women's purple top with an elegant and feminine design. Made from high-quality cotton or satin that feels soft and comfortable on the skin, this top is suitable for casual and semi-formal occasions. With its graceful purple color, it pairs well with various bottoms. Its advantages include comfortable wear and a look that radiates style and confidence.
4943;Men;Apparel;Topwear;Shirts;White;Summer;2011;Casual;Gini and Jony Boy's Kaleb White Brown Kidswear;$15;Adorable boys' outfit featuring a short-sleeve plaid shirt in shades of blue, brown, and white, paired with brown cargo shorts. The shirt includes two chest pockets with button closures, adding a classic touch, while the shorts offer multiple pockets for practicality. Perfect for casual outings and playtime, combining style and comfort for active kids
11188;Men;Accessories;Watches;Watches;Silver;Winter;2016;Casual;Carrera Men Dial steel finish strap Silver Watches;$39;Sleek men's chronograph watch featuring a bold black dial with red accents and multiple sub-dials for precise timekeeping. Encased in a durable stainless steel frame with a textured black strap, this watch combines functionality with a sophisticated design. Perfect for those who appreciate a modern, sporty style with a touch of elegance.
10866;Men;Apparel;Topwear;Tshirts;Red;Fall;2011;Casual;Wrangler Men Motor Rider Red T-Shirts;$70;"Bold red t-shirt featuring a striking graphic of a dirt bike rider with the text ""Tough Service Dirt Riders."" Made from comfortable, soft fabric, this t-shirt is perfect for motorcycle enthusiasts or those who enjoy a rugged, adventurous style. Ideal for casual wear, it adds a dynamic and energetic vibe to any outfit."
59607;Women;Apparel;Saree;Sarees;Grey;Fall;2012;Ethnic;FNF Pink & Grey Wedding Collection Sari;$85;Elegant maroon and gray saree adorned with intricate floral embroidery and a beautifully embellished border. Crafted from lightweight, sheer fabric, this saree drapes gracefully, perfect for festive occasions and celebrations. Its rich color combination and detailed design add a touch of sophistication and traditional charm
15528;Men;Apparel;Topwear;Tshirts;Black;Fall;2011;Casual;Puma Men Scribble Black Tshirts;$65;Men's black Puma t-shirt featuring a bold, green Puma logo on the chest with a subtle striped design. Made from soft, breathable fabric for all-day comfort, this t-shirt is perfect for casual wear or light workouts, combining sporty style with everyday versatility.
45258;Men;Accessories;Watches;Watches;Black;Winter;2016;Casual;CASIO EDIFICE Men Black Dial Chronograph Watch ED60;$55;Casio Edifice men's watch with a sleek black dial, silver stainless steel case, and durable black rubber strap. This watch features multiple sub-dials displaying day, date, and 24-hour time, combining style with functionality. Water-resistant up to 100 meters, it’s perfect for both everyday wear and outdoor adventures, offering a modern, sporty look.
42841;Women;Accessories;Bags;Handbags;Beige;Summer;2012;Casual;French Connection Women Beige Handbag;$99;Elegant beige handbag with a spacious design and multiple pockets, including a front zip pocket and flap pocket for added functionality. Made from high-quality material, this bag combines style with practicality, ideal for work or casual outings. Its neutral tone makes it versatile and easy to pair with any outfit, providing a chic and sophisticated look
22198;Men;Footwear;Shoes;Casual Shoes;Black;Fall;2012;Casual;Timberland Men Black Casual Shoes;$75;Rugged black leather boots with a lace-up design and sturdy treaded sole for added grip. Built for durability and comfort, these boots are ideal for outdoor activities or adding a tough, stylish edge to everyday wear. Perfect for those seeking both functionality and a bold, masculine look.
29570;Men;Footwear;Shoes;Casual Shoes;Purple;Summer;2012;Casual;Vans Men Classic Slip-On Purple & Black Shoes;$65;Classic slip-on sneakers featuring a bold purple and black checkered pattern with black accents and a white rubber sole. Designed for easy wear and all-day comfort, these shoes add a playful and edgy style to any casual outfit. Perfect for those who want a statement piece with a comfortable, laid-back vibe
43993;Women;Personal Care;Fragrance;Perfume and Body Mist;Pink;Spring;2017;Casual;Police Women Passion Perfume;$35;Police Passion perfume in a sleek pink-gradient bottle with a silver cap, exuding a bold and feminine allure. This fragrance combines floral and fruity notes, creating a captivating and long-lasting scent, perfect for confident women seeking a touch of elegance and passion in their everyday style.
6628;Men;Footwear;Shoes;Sports Shoes;White;Summer;2011;Sports;ADIDAS Men's Lowell White Silver Shoe;$20;Sporty silver running shoes with red accents and iconic black stripes, designed for performance and style. Featuring a cushioned sole for added comfort and support, these shoes are perfect for running, workouts, or everyday wear, combining durability with a sleek, modern look. Ideal for those seeking both functionality and a bold design.
54924;Men;Apparel;Bottomwear;Shorts;Blue;Summer;2012;Casual;Do U Speak Green Men Blue Shorts;$15;Men's swim shorts with a vibrant blue and yellow abstract print, crafted from quick-drying fabric for comfort in and out of the water. Featuring a secure waistband and a button detail, these shorts are perfect for beach outings and pool days, combining style with functionality
26538;Men;Footwear;Shoes;Casual Shoes;Red;Fall;2012;Casual;ID Men Red Shoes;$39;Stylish maroon sneakers with a unique striped sole and contrasting yellow interior lining. Made from high-quality material for durability and comfort, these shoes feature white laces and embossed side detailing, perfect for adding a pop of color and personality to casual outfits. Ideal for everyday wear with a touch of modern flair.
35913;Women;Accessories;Bags;Handbags;Black;Summer;2012;Casual;Peperone Women Black & White Handbag;$70;Chic handbag with a bold black and white checkered pattern, complemented by glossy black handles and accents. This stylish bag features a secure clasp and a spacious interior, making it both fashionable and functional. Perfect for adding a statement to any outfit, ideal for casual or semi-formal occasions.
49495;Men;Footwear;Shoes;Casual Shoes;Khaki;Summer;2012;Casual;Vans Men Khaki Shoes;$85;Casual high-top sneakers in a versatile olive green color, featuring a durable canvas upper with black laces and a white rubber sole. These sneakers offer both comfort and style, making them ideal for everyday wear or casual outings. Their minimalist design ensures easy pairing with various outfits for a laid-back, trendy look.
9660;Men;Apparel;Topwear;Shirts;Pink;Fall;2011;Casual;Indigo Nation Men Reversible Bling Pink Shirts;$65;men's formal shirts with a stylish vertical stripe pattern, available in shades of brown and maroon. Crafted from smooth, comfortable fabric with a classic collar and button-down design, these shirts are perfect for both professional settings and evening outings, adding a touch of elegance to any wardrobe.
2288;Women;Apparel;Topwear;Tshirts;Black;Fall;2010;Sports;Nike Women Black T-shirt;$55;"Black athletic t-shirt featuring a sleek gradient stripe design across the front, with ""RUN"" branding on the chest. Made from lightweight, moisture-wicking fabric to keep you dry and comfortable, this shirt is ideal for running and high-performance activities. A perfect blend of style and functionality for activewear enthusiasts"
23876;Men;Apparel;Topwear;Sweatshirts;Blue;Fall;2011;Casual;ADIDAS Men Blue Sweatshirt;$99;Bright blue hooded jacket with contrasting yellow stripes across the shoulders. Made from soft, comfortable fabric, it features a full zipper and pockets for convenience. Perfect for casual wear or workouts, this hoodie combines style and functionality, ideal for adding a pop of color to your active wardrobe
18237;Men;Apparel;Topwear;Tshirts;Red;Fall;2011;Casual;Manchester United Men Solid Red Tshirt;$75;Red sleeveless sports tank with black side panels and a Manchester United emblem on the chest. Made from breathable fabric, this tank top is ideal for workouts and casual wear, offering a comfortable and stylish option for fans and fitness enthusiasts alike.
54118;Women;Footwear;Shoes;Heels;Black;Winter;2012;Casual;Rocia Women Black Flats;$65;Elegant thong sandals with a textured beige footbed and sleek black straps. These sandals offer a comfortable fit with a touch of sophistication, making them ideal for both casual and semi-formal occasions. Lightweight and versatile, they're perfect for adding a subtle yet stylish accent to any outfit.
2872;Women;Footwear;Shoes;Heels;Brown;Winter;2015;Casual;Catwalk Women Leather Flats;$35;Colorful thong sandals featuring a multicolored strap design in white, green, pink, and blue, paired with a dark wooden-textured footbed. These sandals combine vibrant style with casual comfort, making them perfect for summer outings and relaxed gatherings. Their unique look adds a playful touch to any warm-weather ensemble.
49653;Women;Apparel;Topwear;Tops;Green;Summer;2012;Casual;Mineral Women Green Top;$20;Flowy green sleeveless top with delicate ruffle details on the shoulders and subtle embroidery along the neckline. Made from soft, lightweight fabric, this top offers comfort and a relaxed fit, perfect for casual outings or warm days. Its airy design adds a touch of femininity and effortless style to any look.
8574;Women;Footwear;Sandal;Sandals;Pink;Fall;2011;Casual;Crocs Dora Boots Pink Sandals;$15;Cute pink children's clogs featuring a fun cartoon design with vibrant green accents and characters. Made from lightweight, durable material with ventilation holes for breathability, these clogs are perfect for active kids. The adjustable back strap ensures a secure fit, making them ideal for playtime or casual wear.
16957;Men;Accessories;Eyewear;Sunglasses;Black;Winter;2016;Casual;Image Men Sunglasses;$39;Sleek aviator sunglasses with a silver metal frame and gradient gray lenses. Designed for both style and protection, these sunglasses offer a timeless look with UV protection, making them perfect for sunny days. The lightweight build and adjustable nose pads ensure a comfortable fit for all-day wear.
19123;Men;Footwear;Flip Flops;Flip Flops;Silver;Fall;2011;Casual;Lotto Men XL Water Man Silver Slippers;$70;Comfortable gray and blue thong sandals with a contoured footbed for optimal support. The lightweight design and cushioned sole make these sandals ideal for casual wear or beach outings, providing both style and comfort for everyday activities
13419;Men;Apparel;Topwear;Tshirts;Pink;Summer;2011;Casual;United Colors of Benetton Men Solid Pink Polo T-shirts;$85;Men's coral polo shirt with white horizontal stripes, crafted from soft, breathable cotton for all-day comfort. Featuring a classic collar and buttoned neckline, this shirt combines a casual style with a touch of sophistication, perfect for outings or relaxed gatherings
21948;Women;Accessories;Bags;Handbags;Brown;Winter;2015;Casual;Murcia Women Casual Brown Handbag;$65;Classic brown leather handbag with a spacious design and sturdy handles, perfect for everyday use. Featuring multiple zippered compartments for organized storage, this bag combines functionality with timeless style. Ideal for those who seek a sophisticated accessory to complement both casual and professional outfits.
43369;Men;Footwear;Flip Flops;Flip Flops;Black;Summer;2013;Casual;Reebok Men Black Possession Flip Flops;$55;Reebok flip-flops in vibrant yellow and black, featuring a comfortable foam sole and durable strap for a secure fit. Designed with bold graphics on the footbed, these flip-flops are perfect for casual outings and beach days, offering a sporty and stylish look.
48781;Women;Accessories;Jewellery;Pendant;Silver;Summer;2012;Casual;Lucera Women Silver Pendant;$99;Elegant silver earring adorned with sparkling pink heart-shaped gemstones and a cascade of clear crystals. The curved design adds a graceful, feminine touch, perfect for special occasions or adding a hint of sophistication to everyday outfits. A stunning accessory that combines charm and elegance.
44970;Men;Accessories;Watches;Watches;White;Winter;2016;Casual;Maxima Men White Dial Analog Chronograph Watch;$75;Men's analog wristwatch with a sturdy stainless steel case and a wide brown leather strap for a rugged yet stylish look. The white dial features day, date, and 24-hour sub-dials, adding functionality to its classic design. Ideal for everyday wear, blending sophistication with a touch of masculinity.
56489;Women;Personal Care;Nails;Nail Polish;Bronze;Spring;2017;NA;Streetwear Ash Nail Polish # 31;$65;Street Wear quick-dry nail polish in a chic, neutral shade, designed to dry in just 60 seconds. Perfect for an on-the-go lifestyle, offering a smooth application and long-lasting finish. Ideal for adding a touch of elegance to your look with minimal wait time.
39524;Unisex;Accessories;Bags;Laptop Bag;Orange;Summer;2012;Casual;Peter England Unisex Orange Sleeve Bag;$35;Stylish laptop bag in vibrant orange with black accents, made from durable fabric for everyday protection. Features a spacious main compartment for laptops, an exterior zippered pocket for quick access, and an adjustable shoulder strap for comfortable carrying. Ideal for professionals and students looking to add a pop of color to their work or study essentials.
33822;Men;Footwear;Shoes;Sports Shoes;White;Summer;2012;Sports;Puma Men Axis White & Grey Sports Shoes;$20;Sporty running shoes in white, gray, and red, featuring a breathable mesh upper for ventilation and synthetic overlays for added support. Designed with a cushioned insole and durable rubber outsole, these shoes provide excellent grip and comfort for high-performance activities. Perfect for running, training, or casual wear, combining style and functionality.
58513;Women;Apparel;Topwear;Tops;Off White;Summer;2012;Casual;Tonga Women Maroon Top;$15;Women's V-neck top with a soft pink base and bold red leaf print, crafted from lightweight fabric for breathability. The gathered side details and short, tasseled sleeves add a unique, stylish touch, making it perfect for casual outings or summer wear. This top blends comfort with a chic, feminine design.
25947;Women;Accessories;Scarves;Scarves;Brown;Summer;2012;Casual;Femella Women Brown Scarf;$39;Rustic, earthy-toned scarf with subtle blue and brown hues, crafted from a soft, woven fabric for warmth and style. Featuring fringed edges, this scarf adds a touch of natural elegance and texture to any outfit. Ideal for cooler weather, it combines comfort with a vintage-inspired look, perfect for both casual and semi-formal occasions.
52029;Unisex;Apparel;Topwear;Rain Jacket;Coffee Brown;Summer;2012;NA;Just Natural Unisex Charcoal Rain Jacket;$70;Men's hooded windbreaker jacket in dark green with bold red accents along the chest and sleeves. Made from durable, water-resistant material, this jacket is designed to withstand wind and light rain, making it ideal for outdoor activities. The adjustable hood and secure front zipper offer added protection and warmth, ensuring comfort in various weather conditions. Perfect for hiking, camping, or everyday casual wear with a sporty touch.
5865;Men;Apparel;Topwear;Tshirts;Black;Summer;2011;Casual;ADIDAS Men's Twelve Faster T-shirt;$85;Men's black graphic t-shirt featuring a bold, multi-panel design in shades of red and gray. Made from soft, breathable cotton, this shirt combines comfort with a stylish, sporty look. Perfect for casual outings or adding a touch of personality to everyday wear.
39716;Women;Apparel;Dress;Dresses;Blue;Summer;2012;Casual;Arrow Woman Women Blue Dress;$65;Elegant long-sleeve wrap dress in royal blue, made from soft, lightweight fabric. Features a flattering V-neckline and a slim black belt to accentuate the waist, creating a sophisticated silhouette. Perfect for both casual and semi-formal occasions, adding a touch of chic style to any wardrobe.
21180;Men;Footwear;Flip Flops;Flip Flops;Black;Summer;2011;Casual;ADIDAS Men Adi Cells Black Flip Flops;$55;Casual flip-flops with a black footbed featuring a blue hexagonal pattern and matching blue straps. Lightweight and comfortable, these flip-flops are perfect for beach days or casual outings, offering a relaxed style with a touch of modern design
11940;Men;Footwear;Sandal;Sandals;Black;Summer;2011;Casual;Ganuchi Men Casual Black Sandals;$99;Black leather thong sandals, crafted for a minimalist and sleek look. Made with durable material and cushioned footbed for all-day comfort, perfect for casual wear and versatile styling. Ideal for warm-weather outings with a touch of elegance
55802;Women;Apparel;Loungewear and Nightwear;Night suits;White;Summer;2017;Casual;SDL by Sweet Dreams Women Green Printed Night Suit S11-3124;$75;White sleeveless top made of lightweight, breathable fabric, featuring a vibrant green and red butterfly print on the chest. Perfect for casual wear in warm weather, offering a comfortable and fresh look with a touch of playful style.
29584;Men;Apparel;Topwear;Tshirts;Black;Summer;2012;Casual;Indigo Nation Men Printed Black T-shirt;$65;Men's black cotton t-shirt, comfortable and sweat-absorbent. Designed with a vintage newspaper print motif, perfect for a casual yet stylish and distinctive look.